"_tid","v","_vp","c","fid","fuid","mime","pr","set","u"
"56681133#AgADG1MAAlGSSEk","ball overwatch","bal","1722361337","CgACAgIAAxkBAAIiRWapJeCGC2CamM-R7JS8Yh-RTC7QAAIbUwACUZJISYO5NwMAASPJ_jUE","AgADG1MAAlGSSEk","1","","","56681133"
"56681133#AgADG1MAAlGSSEk","hammond overwatch","ham","1722361337","CgACAgIAAxkBAAIiRWapJeCGC2CamM-R7JS8Yh-RTC7QAAIbUwACUZJISYO5NwMAASPJ_jUE","AgADG1MAAlGSSEk","1","","","56681133"
"56681133#AgADG1MAAlGSSEk","hamster overwatch","ham","1722361337","CgACAgIAAxkBAAIiRWapJeCGC2CamM-R7JS8Yh-RTC7QAAIbUwACUZJISYO5NwMAASPJ_jUE","AgADG1MAAlGSSEk","1","","","56681133"
"56681133#AgADG1MAAlGSSEk","overwatch","ove","1722361337","CgACAgIAAxkBAAIiRWapJeCGC2CamM-R7JS8Yh-RTC7QAAIbUwACUZJISYO5NwMAASPJ_jUE","AgADG1MAAlGSSEk","1","","","56681133"
"56681133#AgADG1MAAlGSSEk","шарикс","шар","1722361337","CgACAgIAAxkBAAIiRWapJeCGC2CamM-R7JS8Yh-RTC7QAAIbUwACUZJISYO5NwMAASPJ_jUE","AgADG1MAAlGSSEk","1","","","56681133"
"56681133#AgADMBQAAry6kUg","пепе радостный","пеп","1700824814","CAACAgIAAxUAAWVghoyxdj6L8ofShxjcIslYwJs3AAIwFAACvLqRSPj5GeM6j8VtMwQ","AgADMBQAAry6kUg","","","strangesticks_by_fStikBot","56681133"
"56681133#AgADMBQAAry6kUg","радостный","рад","1700824814","CAACAgIAAxUAAWVghoyxdj6L8ofShxjcIslYwJs3AAIwFAACvLqRSPj5GeM6j8VtMwQ","AgADMBQAAry6kUg","","","strangesticks_by_fStikBot","56681133"
"56681133#AgADMBQAAry6kUg","счастливый пепе","сча","1700824814","CAACAgIAAxUAAWVghoyxdj6L8ofShxjcIslYwJs3AAIwFAACvLqRSPj5GeM6j8VtMwQ","AgADMBQAAry6kUg","","","strangesticks_by_fStikBot","56681133"
"56681133#AgADPwADrWW8FA","is sorry","""is ""","1700848530","CAACAgIAAxUAAWVg4235csSn_6QyAAHRo2CMU5VKJgACPwADrWW8FIT4R4kksisgMwQ","AgADPwADrWW8FA","","","DonutTheDog","56681133"
"56681133#AgADPwADrWW8FA","shiba is sorry","shi","1700848530","CAACAgIAAxUAAWVg4235csSn_6QyAAHRo2CMU5VKJgACPwADrWW8FIT4R4kksisgMwQ","AgADPwADrWW8FA","","","DonutTheDog","56681133"
"56681133#AgADPwADrWW8FA","sorry","sor","1700848530","CAACAgIAAxUAAWVg4235csSn_6QyAAHRo2CMU5VKJgACPwADrWW8FIT4R4kksisgMwQ","AgADPwADrWW8FA","","","DonutTheDog","56681133"
"56681133#AgADPwADrWW8FA","извиняется","изв","1700848530","CAACAgIAAxUAAWVg4235csSn_6QyAAHRo2CMU5VKJgACPwADrWW8FIT4R4kksisgMwQ","AgADPwADrWW8FA","","","DonutTheDog","56681133"
"56681133#AgADPwADrWW8FA","шиба извиняется","шиб","1700848530","CAACAgIAAxUAAWVg4235csSn_6QyAAHRo2CMU5VKJgACPwADrWW8FIT4R4kksisgMwQ","AgADPwADrWW8FA","","","DonutTheDog","56681133"
"56681133#AgADfxQAAg97iUs","3 2 1","3 2","1700761605","CAACAgIAAxkBAAPmZVznBr8xHFf5BbdwVNWAWPnwr0IAAn8UAAIPe4lLKKRsW2VnAm4zBA","AgADfxQAAg97iUs","","","fiftyfourforever","56681133"
"56681133#AgADfxQAAg97iUs","good joke laughing i","goo","1700761604","CAACAgIAAxkBAAPmZVznBr8xHFf5BbdwVNWAWPnwr0IAAn8UAAIPe4lLKKRsW2VnAm4zBA","AgADfxQAAg97iUs","","","fiftyfourforever","56681133"
"56681133#AgADfxQAAg97iUs","in 3 2 1","""in ""","1700761602","CAACAgIAAxkBAAPmZVznBr8xHFf5BbdwVNWAWPnwr0IAAn8UAAIPe4lLKKRsW2VnAm4zBA","AgADfxQAAg97iUs","","","fiftyfourforever","56681133"
"56681133#AgADfxQAAg97iUs","joke laughing in 3 2","jok","1700761603","CAACAgIAAxkBAAPmZVznBr8xHFf5BbdwVNWAWPnwr0IAAn8UAAIPe4lLKKRsW2VnAm4zBA","AgADfxQAAg97iUs","","","fiftyfourforever","56681133"
"56681133#AgADfxQAAg97iUs","laughing in 3 2 1","lau","1700761606","CAACAgIAAxkBAAPmZVznBr8xHFf5BbdwVNWAWPnwr0IAAn8UAAIPe4lLKKRsW2VnAm4zBA","AgADfxQAAg97iUs","","","fiftyfourforever","56681133"
"7283618606#AgADZgQAAv7EsEc","shengri","she","1724070560","CAACAgEAAxUAAWbDONjQpagMkvah3kcpn4owcn_6AAJmBAAC_sSwRx-4g74lYOxFNQQ","AgADZgQAAv7EsEc","","","pa_iEYwLYkzrTLVodluIgyc_by_SigStick22Bot","7283618606"
"56681133#AgAD80wAAgUieEg","вивозю","вив","1723105486","CgACAgIAAxkBAAIiaWa0gLGIDKt7pg3qdtwE4QjsC5IvAALzTAACBSJ4SHw3Q7JDLMq4NQQ","AgAD80wAAgUieEg","1","","","56681133"
"56681133#AgAD80wAAgUieEg","все заїбало","все","1723105486","CgACAgIAAxkBAAIiaWa0gLGIDKt7pg3qdtwE4QjsC5IvAALzTAACBSJ4SHw3Q7JDLMq4NQQ","AgAD80wAAgUieEg","1","","","56681133"
"56681133#AgAD80wAAgUieEg","же мене все заїбало","""же ""","1723105486","CgACAgIAAxkBAAIiaWa0gLGIDKt7pg3qdtwE4QjsC5IvAALzTAACBSJ4SHw3Q7JDLMq4NQQ","AgAD80wAAgUieEg","1","","","56681133"
"56681133#AgAD80wAAgUieEg","заїбало","заї","1723105486","CgACAgIAAxkBAAIiaWa0gLGIDKt7pg3qdtwE4QjsC5IvAALzTAACBSJ4SHw3Q7JDLMq4NQQ","AgAD80wAAgUieEg","1","","","56681133"
"56681133#AgAD80wAAgUieEg","мене все заїбало","мен","1723105486","CgACAgIAAxkBAAIiaWa0gLGIDKt7pg3qdtwE4QjsC5IvAALzTAACBSJ4SHw3Q7JDLMq4NQQ","AgAD80wAAgUieEg","1","","","56681133"
"56681133#AgAD80wAAgUieEg","не вивозю","""не ""","1723105486","CgACAgIAAxkBAAIiaWa0gLGIDKt7pg3qdtwE4QjsC5IvAALzTAACBSJ4SHw3Q7JDLMq4NQQ","AgAD80wAAgUieEg","1","","","56681133"
"56681133#AgAD80wAAgUieEg","уже не вивозю","уже","1723105486","CgACAgIAAxkBAAIiaWa0gLGIDKt7pg3qdtwE4QjsC5IvAALzTAACBSJ4SHw3Q7JDLMq4NQQ","AgAD80wAAgUieEg","1","","","56681133"
"56681133#AgAD80wAAgUieEg","я уже не вивозю","я у","1723105486","CgACAgIAAxkBAAIiaWa0gLGIDKt7pg3qdtwE4QjsC5IvAALzTAACBSJ4SHw3Q7JDLMq4NQQ","AgAD80wAAgUieEg","1","","","56681133"
"56681133#AgAD80wAAgUieEg","як же мене все заїба","""як ""","1723105486","CgACAgIAAxkBAAIiaWa0gLGIDKt7pg3qdtwE4QjsC5IvAALzTAACBSJ4SHw3Q7JDLMq4NQQ","AgAD80wAAgUieEg","1","","","56681133"
"56681133#AgADOBsAArsFeUg","аниме","ани","1700767232","CAACAgIAAxUAAWVfpXcWxPBb8_rxtnDlkdCXZ1y1AAI4GwACuwV5SJ5uFNeJniLpMwQ","AgADOBsAArsFeUg","","","gifiYaroslavaVizhdia_by_fStikBot","56681133"
"56681133#AgADOBsAArsFeUg","аніме","ані","1700767232","CAACAgIAAxUAAWVfpXcWxPBb8_rxtnDlkdCXZ1y1AAI4GwACuwV5SJ5uFNeJniLpMwQ","AgADOBsAArsFeUg","","","gifiYaroslavaVizhdia_by_fStikBot","56681133"
"56681133#AgADOBsAArsFeUg","вибачте ненавиджу ан","виб","1700767232","CAACAgIAAxUAAWVfpXcWxPBb8_rxtnDlkdCXZ1y1AAI4GwACuwV5SJ5uFNeJniLpMwQ","AgADOBsAArsFeUg","","","gifiYaroslavaVizhdia_by_fStikBot","56681133"
"56681133#AgADOBsAArsFeUg","ненавиджу аніме","нен","1700767232","CAACAgIAAxUAAWVfpXcWxPBb8_rxtnDlkdCXZ1y1AAI4GwACuwV5SJ5uFNeJniLpMwQ","AgADOBsAArsFeUg","","","gifiYaroslavaVizhdia_by_fStikBot","56681133"
"56681133#AgADGUcAAnkz-Eo","боня котька","бон","1709146560","CAACAgIAAxkBAAIc8WXfgbkLmy5GRT7NZKN5T9gU6gUlAAIZRwACeTP4St_2rwmTmDaoNAQ","AgADGUcAAnkz-Eo","","false","","56681133"
"56681133#AgADGUcAAnkz-Eo","котька","кот","1709146560","CAACAgIAAxkBAAIc8WXfgbkLmy5GRT7NZKN5T9gU6gUlAAIZRwACeTP4St_2rwmTmDaoNAQ","AgADGUcAAnkz-Eo","","false","","56681133"
"56681133#AgAD0Q0AAsZRxhU","cute shiba","cut","1700761607","CAACAgUAAxUAAWVc1Fz70oS5fKolgK-Ra1KdkT9aAALRDQACxlHGFVO_UPFSlSkLMwQ","AgAD0Q0AAsZRxhU","","","Shibaban","56681133"
"56681133#AgAD0Q0AAsZRxhU","shiba","shi","1700761610","CAACAgUAAxUAAWVc1Fz70oS5fKolgK-Ra1KdkT9aAALRDQACxlHGFVO_UPFSlSkLMwQ","AgAD0Q0AAsZRxhU","","","Shibaban","56681133"
"56681133#AgAD0Q0AAsZRxhU","милый шиба","мил","1700761609","CAACAgUAAxUAAWVc1Fz70oS5fKolgK-Ra1KdkT9aAALRDQACxlHGFVO_UPFSlSkLMwQ","AgAD0Q0AAsZRxhU","","","Shibaban","56681133"
"56681133#AgAD0Q0AAsZRxhU","шиба","шиб","1700761608","CAACAgUAAxUAAWVc1Fz70oS5fKolgK-Ra1KdkT9aAALRDQACxlHGFVO_UPFSlSkLMwQ","AgAD0Q0AAsZRxhU","","","Shibaban","56681133"
"56681133#AgADAQsAAgSwwUk","антон","#56681133","1704735664","CAACAgIAAxUAAWWa_ZEXkhKvfpzw3jq-Dp0eg7aHAAIBCwACBLDBSY4vbJtqP6MyNAQ","AgADAQsAAgSwwUk","","true","Donbrella","56681133"
"56681133#AgADAQsAAgSwwUk","скучаю антон","#56681133","1704735664","CAACAgIAAxUAAWWa_ZEXkhKvfpzw3jq-Dp0eg7aHAAIBCwACBLDBSY4vbJtqP6MyNAQ","AgADAQsAAgSwwUk","","true","Donbrella","56681133"
"56681133#AgADpwADwZxgDA","drop","dro","1704825082","CAACAgIAAxUAAWWdkJnGV3H3L1ulT8w7IimxCuDdAAKnAAPBnGAML_8joRbFNRg0BA","AgADpwADwZxgDA","","false","UtyaD","56681133"
"56681133#AgADpwADwZxgDA","mic drop","mic","1704825082","CAACAgIAAxUAAWWdkJnGV3H3L1ulT8w7IimxCuDdAAKnAAPBnGAML_8joRbFNRg0BA","AgADpwADwZxgDA","","false","UtyaD","56681133"
"56681133#AgADpwADwZxgDA","микрофон","мик","1704825082","CAACAgIAAxUAAWWdkJnGV3H3L1ulT8w7IimxCuDdAAKnAAPBnGAML_8joRbFNRg0BA","AgADpwADwZxgDA","","false","UtyaD","56681133"
"56681133#AgADpwADwZxgDA","утка","утк","1704825082","CAACAgIAAxUAAWWdkJnGV3H3L1ulT8w7IimxCuDdAAKnAAPBnGAML_8joRbFNRg0BA","AgADpwADwZxgDA","","false","UtyaD","56681133"
"56681133#AgADpwADwZxgDA","утя","утя","1704825082","CAACAgIAAxUAAWWdkJnGV3H3L1ulT8w7IimxCuDdAAKnAAPBnGAML_8joRbFNRg0BA","AgADpwADwZxgDA","","false","UtyaD","56681133"
"56681133#AgADTkAAAuDXKUo","державною","дер","1709294522","CAACAgIAAxUAAWXhw0YYidBdBsJHr6V-7XjvuHR9AAJOQAAC4NcpStXYZo2JtvmlNAQ","AgADTkAAAuDXKUo","","false","olyauapl","56681133"
"56681133#AgADTkAAAuDXKUo","не державною","""не ""","1709294522","CAACAgIAAxUAAWXhw0YYidBdBsJHr6V-7XjvuHR9AAJOQAAC4NcpStXYZo2JtvmlNAQ","AgADTkAAAuDXKUo","","false","olyauapl","56681133"
"56681133#AgADTkAAAuDXKUo","оляua оляюа","оля","1709294522","CAACAgIAAxUAAWXhw0YYidBdBsJHr6V-7XjvuHR9AAJOQAAC4NcpStXYZo2JtvmlNAQ","AgADTkAAAuDXKUo","","false","olyauapl","56681133"
"56681133#AgADTkAAAuDXKUo","оляюа","оля","1709294522","CAACAgIAAxUAAWXhw0YYidBdBsJHr6V-7XjvuHR9AAJOQAAC4NcpStXYZo2JtvmlNAQ","AgADTkAAAuDXKUo","","false","olyauapl","56681133"
"56681133#AgADTkAAAuDXKUo","чому не державною","чом","1709294522","CAACAgIAAxUAAWXhw0YYidBdBsJHr6V-7XjvuHR9AAJOQAAC4NcpStXYZo2JtvmlNAQ","AgADTkAAAuDXKUo","","false","olyauapl","56681133"
"56681133#AgADvyAAAnj0WEg","есть свет","ест","1700824573","CAACAgIAAxUAAWVgheCCVRId7qEhnIZJ3mOK2iX_AAK_IAACePRYSOjcYdfOtNeJMwQ","AgADvyAAAnj0WEg","","","zavzhdy_bude_svitlo","56681133"
"56681133#AgADvyAAAnj0WEg","свет","све","1700824573","CAACAgIAAxUAAWVgheCCVRId7qEhnIZJ3mOK2iX_AAK_IAACePRYSOjcYdfOtNeJMwQ","AgADvyAAAnj0WEg","","","zavzhdy_bude_svitlo","56681133"
"56681133#AgADvyAAAnj0WEg","світло","сві","1700824573","CAACAgIAAxUAAWVgheCCVRId7qEhnIZJ3mOK2iX_AAK_IAACePRYSOjcYdfOtNeJMwQ","AgADvyAAAnj0WEg","","","zavzhdy_bude_svitlo","56681133"
"56681133#AgADvyAAAnj0WEg","є світло","є с","1700824573","CAACAgIAAxUAAWVgheCCVRId7qEhnIZJ3mOK2iX_AAK_IAACePRYSOjcYdfOtNeJMwQ","AgADvyAAAnj0WEg","","","zavzhdy_bude_svitlo","56681133"
"56681133#AgADMAMAAjJGFFM","ban","ban","1709926227","CgACAgQAAxkBAAIdRmXrZ0-CGxS0woS-S0HE3o1wth9aAAIwAwACMkYUU7Dfd-xFGIoHNAQ","AgADMAMAAjJGFFM","1","","","56681133"
"56681133#AgADMAMAAjJGFFM","sombra ban","som","1709926227","CgACAgQAAxkBAAIdRmXrZ0-CGxS0woS-S0HE3o1wth9aAAIwAwACMkYUU7Dfd-xFGIoHNAQ","AgADMAMAAjJGFFM","1","","","56681133"
"56681133#AgAD9RcAAirPIEs","арестович шепчет","аре","1700769737","CAACAgIAAxUAAWVfr3jOgb_Ed1eokmFMDYOElmJvAAL1FwACKs8gS3EadyRdRb7jMwQ","AgAD9RcAAirPIEs","","","arestovych_animated","56681133"
"56681133#AgAD9RcAAirPIEs","шепчет","шеп","1700769737","CAACAgIAAxUAAWVfr3jOgb_Ed1eokmFMDYOElmJvAAL1FwACKs8gS3EadyRdRb7jMwQ","AgAD9RcAAirPIEs","","","arestovych_animated","56681133"
"56681133#AgADrkMAAv3MyUk","боня","бон","1706620270","CAACAgIAAxkBAAIclmW49WnViL2WaIiZCcpYcvaCEdbsAAKuQwAC_czJSWzpyxOKyLyLNAQ","AgADrkMAAv3MyUk","","false","","56681133"
"56681133#AgADSx8AAhnB2Uo","буде","буд","1700824014","CAACAgIAAxUAAWVgfI-Bc_c9Cda6DNdnXA1PzydaAAJLHwACGcHZSgFIVGM6pkUGMwQ","AgADSx8AAhnB2Uo","","","memesukraine","56681133"
"56681133#AgADSx8AAhnB2Uo","будь що буде","буд","1700824014","CAACAgIAAxUAAWVgfI-Bc_c9Cda6DNdnXA1PzydaAAJLHwACGcHZSgFIVGM6pkUGMwQ","AgADSx8AAhnB2Uo","","","memesukraine","56681133"
"56681133#AgADSx8AAhnB2Uo","що буде","""що ""","1700824014","CAACAgIAAxUAAWVgfI-Bc_c9Cda6DNdnXA1PzydaAAJLHwACGcHZSgFIVGM6pkUGMwQ","AgADSx8AAhnB2Uo","","","memesukraine","56681133"
"56681133#AgADOhYAApQYyEs","похуй","пох","1700761611","CAACAgIAAxUAAWVeWvhalGEHQaUINKyYRJP0qnk9AAI6FgAClBjIS-Kw_WgL6o8jMwQ","AgADOhYAApQYyEs","","","shit_tima_y","56681133"
"56681133#AgADZxEAAtZieEo","дозволив срати","доз","1700824466","CAACAgIAAxUAAWVghV6DQIc_gsOkVOp0yV_RHexvAAJnEQAC1mJ4SrcPmCkOG1i8MwQ","AgADZxEAAtZieEo","","","novinach_2021","56681133"
"56681133#AgADZxEAAtZieEo","президент дозволив с","пре","1700824466","CAACAgIAAxUAAWVghV6DQIc_gsOkVOp0yV_RHexvAAJnEQAC1mJ4SrcPmCkOG1i8MwQ","AgADZxEAAtZieEo","","","novinach_2021","56681133"
"56681133#AgADZxEAAtZieEo","срати","сра","1700824466","CAACAgIAAxUAAWVghV6DQIc_gsOkVOp0yV_RHexvAAJnEQAC1mJ4SrcPmCkOG1i8MwQ","AgADZxEAAtZieEo","","","novinach_2021","56681133"
"56681133#AgAD9SgAAoH_OUg","грешник пон","гре","1718870449","CAACAgIAAxUAAWZz4UPyK_oAARXvw6R9olWyhu8jvwAC9SgAAoH_OUgtOcPWBTqUaDUE","AgAD9SgAAoH_OUg","","","QDAPREWFLQ_by_stikeri_stikeri_bot","56681133"
"56681133#AgAD9SgAAoH_OUg","кто обзывает маму то","кто","1718870449","CAACAgIAAxUAAWZz4UPyK_oAARXvw6R9olWyhu8jvwAC9SgAAoH_OUgtOcPWBTqUaDUE","AgAD9SgAAoH_OUg","","","QDAPREWFLQ_by_stikeri_stikeri_bot","56681133"
"56681133#AgAD9SgAAoH_OUg","мавпа","мав","1718870449","CAACAgIAAxUAAWZz4UPyK_oAARXvw6R9olWyhu8jvwAC9SgAAoH_OUgtOcPWBTqUaDUE","AgAD9SgAAoH_OUg","","","QDAPREWFLQ_by_stikeri_stikeri_bot","56681133"
"56681133#AgAD9SgAAoH_OUg","маму тот грешник пон","мам","1718870449","CAACAgIAAxUAAWZz4UPyK_oAARXvw6R9olWyhu8jvwAC9SgAAoH_OUgtOcPWBTqUaDUE","AgAD9SgAAoH_OUg","","","QDAPREWFLQ_by_stikeri_stikeri_bot","56681133"
"56681133#AgAD9SgAAoH_OUg","обзывает маму тот гр","обз","1718870449","CAACAgIAAxUAAWZz4UPyK_oAARXvw6R9olWyhu8jvwAC9SgAAoH_OUgtOcPWBTqUaDUE","AgAD9SgAAoH_OUg","","","QDAPREWFLQ_by_stikeri_stikeri_bot","56681133"
"56681133#AgAD9SgAAoH_OUg","пон","пон","1718870449","CAACAgIAAxUAAWZz4UPyK_oAARXvw6R9olWyhu8jvwAC9SgAAoH_OUgtOcPWBTqUaDUE","AgAD9SgAAoH_OUg","","","QDAPREWFLQ_by_stikeri_stikeri_bot","56681133"
"56681133#AgAD9SgAAoH_OUg","тот грешник пон","тот","1718870449","CAACAgIAAxUAAWZz4UPyK_oAARXvw6R9olWyhu8jvwAC9SgAAoH_OUgtOcPWBTqUaDUE","AgAD9SgAAoH_OUg","","","QDAPREWFLQ_by_stikeri_stikeri_bot","56681133"
"56681133#AgADyQADaJpdDA","бедностью","бед","1700761612","CAACAgIAAxUAAWVczxS0JvJfVUuPfWeWviLN5wg5AALJAANoml0MtprdPpI_ULIzBA","AgADyQADaJpdDA","","","sad_crying_cat","56681133"
"56681133#AgADyQADaJpdDA","пахнешь бедностью","пах","1700761613","CAACAgIAAxUAAWVczxS0JvJfVUuPfWeWviLN5wg5AALJAANoml0MtprdPpI_ULIzBA","AgADyQADaJpdDA","","","sad_crying_cat","56681133"
"56681133#AgADHhIAAhWiWEg","все супер","все","1701972479","CAACAgIAAxkBAAIaT2VyCe_PHQ18dSQIfUqMkJbFTiiyAAIeEgACFaJYSDmUxOOK66qTMwQ","AgADHhIAAhWiWEg","","","fiftyfourforever","56681133"
"56681133#AgADHhIAAhWiWEg","депресия меня покину","деп","1701972479","CAACAgIAAxkBAAIaT2VyCe_PHQ18dSQIfUqMkJbFTiiyAAIeEgACFaJYSDmUxOOK66qTMwQ","AgADHhIAAhWiWEg","","","fiftyfourforever","56681133"
"56681133#AgADHhIAAhWiWEg","меня покинула","мен","1701972479","CAACAgIAAxkBAAIaT2VyCe_PHQ18dSQIfUqMkJbFTiiyAAIeEgACFaJYSDmUxOOK66qTMwQ","AgADHhIAAhWiWEg","","","fiftyfourforever","56681133"
"56681133#AgADHhIAAhWiWEg","миру","мир","1701972479","CAACAgIAAxkBAAIaT2VyCe_PHQ18dSQIfUqMkJbFTiiyAAIeEgACFaJYSDmUxOOK66qTMwQ","AgADHhIAAhWiWEg","","","fiftyfourforever","56681133"
